@relation home
@attribute claim3years {'N','Y'}
@attribute empStatus {'A','C','E','F','H','I','N','R','S','U','V'}
@attribute busUse {'N','Y'}
@attribute adBuild {'Y'}
@attribute riskRate numeric
@attribute insurSum numeric
@attribute grantYear numeric
@attribute specInsur numeric
@attribute specPrem numeric
@attribute birthYear numeric
@attribute marStatus {'A','B','C','D','M','N','O','P','S','W'}
@attribute sex {'F','M','N'}
@attribute alarm {'N','Y'}
@attribute lock {'N','Y'}
@attribute bedroom numeric
@attribute roofCon numeric
@attribute wallCon numeric
@attribute flood {'N','Y'}
@attribute unocc numeric
@attribute neigh {'N','Y'}
@attribute occStatus {'HH','LP','PH','UN','WD','WE'}
@attribute safeInstall {'N','Y'}
@attribute subside {'N','Y'}
@attribute yearBuild numeric
@attribute payment {'DD-Other','NonDD','PureDD'}
@attribute garBefore {'N','Y'}
@attribute garPost {'N','Y'}
@attribute keyBefore {'N','Y'}
@attribute keyAfter {'N','Y'}
@attribute lastPrem numeric
@attribute polStatus {'Cancelled','Lapsed','Live','Unknown'}
@data
'N','R','N','Y',7,1000000,6,1990,16.4,1930,'O','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',173.24,'Live'
'N','R','N','Y',33,1000000,7,0,0,1930,'O','F','Y','Y',3,11,15,'Y',30,'N','PH','N','N',1920,'NonDD','N','N','N','N',210.61,'Live'
'N','R','N','Y',7,1000000,6,0,0,1931,'P','M','N','Y',4,11,15,'Y',0,'Y','PH','N','N',1980,'NonDD','N','N','N','N',197.97,'Cancelled'
'N','R','N','Y',0,1000000,7,0,0,1932,'W','F','N','N',2,11,15,'Y',0,'N','PH','N','N',1870,'PureDD','N','N','N','N',160.18,'Live'
'N','R','N','Y',3,1000000,5,0,0,1932,'P','M','N','Y',4,11,15,'Y',0,'N','PH','N','N',1980,'NonDD','Y','Y','N','N',272.94,'Live'
'N','R','N','Y',5,1000000,5,0,0,1932,'P','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',157.82,'Live'
'N','R','N','Y',18,1000000,6,0,0,1932,'O','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',168.27,'Live'
'N','R','N','Y',8,1000000,6,0,0,1933,'P','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',173.5,'Live'
'N','R','N','Y',12,1000000,5,0,0,1933,'W','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',182.09,'Live'
'N','R','N','Y',2,1000000,6,0,0,1934,'P','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',235.54,'Live'
'Y','R','N','Y',3,1000000,3,0,0,1936,'P','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',264.05,'Live'
'N','R','N','Y',7,1000000,6,0,0,1936,'O','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',212.92,'Live'
'N','R','N','Y',17,1000000,6,0,0,1936,'M','M','N','Y',4,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',307.11,'Lapsed'
'N','R','N','Y',9,1000000,6,0,0,1936,'W','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',167.61,'Live'
'N','R','N','Y',1,1000000,6,0,0,1937,'W','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',191.57,'Live'
'N','R','N','Y',5,1000000,5,0,0,1939,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1980,'NonDD','N','N','N','N',128.63,'Live'
'N','R','N','Y',8,1000000,6,0,0,1939,'O','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1980,'NonDD','N','N','N','N',182.08,'Live'
'N','R','N','Y',0,1000000,6,0,0,1940,'M','M','N','N',3,11,15,'Y',30,'N','PH','N','N',1920,'PureDD','N','N','N','N',207.83,'Live'
'N','R','N','Y',8,1000000,6,0,0,1940,'O','M','Y','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',141.3,'Live'
'N','R','N','Y',13,1000000,6,0,0,1940,'M','M','N','Y',4,11,15,'Y',30,'N','PH','N','N',1980,'PureDD','N','N','N','N',192.72,'Live'
'N','R','N','Y',15,1000000,6,0,0,1940,'M','M','Y','Y',4,11,15,'Y',0,'Y','PH','N','N',1960,'NonDD','N','N','Y','Y',647.04,'Lapsed'
'Y','R','N','Y',26,1000000,3,1600,15.12,1940,'O','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','Y','Y','N','N',267.87,'Live'
'N','R','N','Y',8,1000000,7,0,0,1941,'M','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1960,'NonDD','N','N','N','N',166.07,'Live'
'N','R','N','Y',4,1000000,6,0,0,1941,'M','M','N','Y',4,11,15,'Y',30,'Y','PH','N','N',1960,'NonDD','N','N','N','N',199.19,'Lapsed'
'N','R','N','Y',10,1000000,6,0,0,1941,'O','M','Y','Y',2,11,15,'Y',0,'N','PH','N','Y',1946,'NonDD','N','N','N','N',320.44,'Live'
'N','R','N','Y',4,1000000,7,7575,35.9,1942,'W','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1920,'DD-Other','N','N','Y','Y',172.79,'Live'
'Y','R','N','Y',23,1000000,3,0,0,1942,'P','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','N','N','N','N',226.91,'Live'
'N','R','N','Y',7,1000000,6,0,0,1945,'D','M','N','N',3,11,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',117.17,'Lapsed'
'Y','R','N','Y',0,1000000,1,100,1.26,1946,'M','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1995,'PureDD','N','N','N','N',246.74,'Live'
'N','R','N','Y',1,1000000,6,0,0,1946,'O','F','N','Y',4,11,15,'Y',0,'Y','PH','N','N',1946,'DD-Other','N','N','N','N',374.65,'Lapsed'
'N','R','N','Y',9,1000000,6,0,0,1946,'M','M','N','Y',2,11,15,'Y',30,'N','PH','N','N',1900,'NonDD','N','N','N','N',135.32,'Lapsed'
'N','R','N','Y',4,1000000,6,0,0,1947,'O','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1900,'NonDD','N','N','N','N',284.39,'Lapsed'
'N','R','N','Y',12,1000000,6,0,0,1947,'S','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1980,'NonDD','N','N','N','N',112.3,'Lapsed'
'N','R','N','Y',3,1000000,6,0,0,1947,'M','M','N','N',2,11,15,'Y',0,'N','PH','N','N',1980,'NonDD','N','N','N','N',189.21,'Lapsed'
'N','R','N','Y',15,1000000,6,700,6.86,1947,'O','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',193.89,'Live'
'N','R','N','Y',4,1000000,6,0,0,1948,'P','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','N','N','N','N',210.8,'Live'
'N','R','N','Y',11,1000000,6,0,0,1948,'O','F','N','N',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','N','N','N','N',181.45,'Lapsed'
'N','R','N','Y',16,1000000,6,0,0,1948,'W','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1920,'NonDD','N','N','N','N',149.99,'Lapsed'
'N','E','N','Y',7,1000000,6,0,0,1948,'P','M','N','Y',2,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',157.95,'Live'
'N','R','N','Y',5,1000000,6,0,0,1950,'M','M','N','N',3,11,15,'Y',30,'N','PH','N','N',1946,'NonDD','N','N','N','N',114.96,'Lapsed'
'N','R','N','Y',18,1000000,6,0,0,1950,'M','M','N','N',4,11,15,'Y',0,'Y','PH','N','N',1920,'NonDD','N','N','N','N',167.83,'Live'
'N','R','N','Y',26,1000000,6,0,0,1951,'O','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',240.62,'Lapsed'
'N','R','N','Y',1,1000000,7,1000,24.42,1952,'O','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',222.79,'Live'
'Y','E','N','Y',3,1000000,3,2000,12.24,1952,'M','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','N','N','N','N',277.11,'Live'
'N','E','N','Y',25,1000000,9,0,0,1952,'M','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1960,'NonDD','N','N','N','N',174.46,'Lapsed'
'N','E','N','Y',11,1000000,5,0,0,1954,'S','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1960,'NonDD','N','N','N','N',117.66,'Lapsed'
'N','E','N','Y',23,1000000,6,0,0,1954,'O','M','N','N',2,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',214.04,'Live'
'N','E','N','Y',10,1000000,8,0,0,1956,'O','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',215.73,'Lapsed'
'N','U','N','Y',22,1000000,7,0,0,1958,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1946,'PureDD','N','N','N','N',279.85,'Live'
'N','E','N','Y',32,1000000,6,0,0,1959,'M','F','N','Y',3,11,15,'Y',30,'Y','PH','N','N',1960,'PureDD','N','N','N','N',286.53,'Lapsed'
'N','E','N','Y',1,1000000,6,0,0,1960,'O','F','N','Y',4,11,15,'Y',0,'N','PH','N','N',1900,'PureDD','N','N','N','N',364.91,'Live'
'N','E','N','Y',3,1000000,6,0,0,1963,'O','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','N','N','N','N',163.55,'Lapsed'
'N','E','N','Y',7,1000000,6,400,4.21,1971,'P','M','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',307.38,'Live'
'N','R','N','Y',9,1000000,6,0,0,1922,'P','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','Y','Y','N','N',296.77,'Live'
'N','R','N','Y',4,1000000,6,900,5.56,1926,'P','F','N','N',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','N','N','N','N',205.39,'Live'
'N','R','N','Y',0,1000000,7,0,0,1927,'M','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1960,'PureDD','N','N','N','N',200.12,'Live'
'N','R','N','Y',15,1000000,6,0,0,1927,'P','F','N','Y',2,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','Y','Y','N','N',203.51,'Live'
'N','R','N','Y',11,1000000,6,0,0,1927,'P','F','N','N',4,11,15,'Y',0,'Y','PH','N','N',1900,'PureDD','Y','Y','N','N',428.74,'Live'
'N','R','N','Y',9,1000000,6,0,0,1927,'W','F','N','N',3,11,15,'Y',30,'N','PH','N','N',1920,'NonDD','N','N','N','N',159.04,'Live'
'N','R','N','Y',0,1000000,4,0,0,1928,'M','M','N','N',4,11,15,'Y',30,'Y','PH','N','N',1900,'PureDD','N','N','N','N',262.51,'Live'
'Y','R','N','Y',21,1000000,3,0,0,1928,'P','M','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1980,'NonDD','N','N','N','N',287.54,'Live'
'Y','R','N','Y',1,1000000,6,0,0,1929,'W','F','N','Y',4,11,15,'Y',30,'N','PH','N','N',1980,'NonDD','Y','Y','N','N',252.68,'Live'
'N','R','N','Y',24,1000000,6,0,0,1929,'W','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1870,'NonDD','N','N','N','N',339.25,'Live'
'N','R','N','Y',5,1000000,5,0,0,1929,'P','M','N','Y',2,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','Y','Y','N','N',166.58,'Lapsed'
'N','R','N','Y',3,1000000,6,0,0,1930,'P','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',255.34,'Live'
'N','R','N','Y',1,1000000,5,0,0,1931,'W','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',149.68,'Live'
'N','R','N','Y',21,1000000,6,0,0,1931,'W','F','N','N',3,11,15,'Y',30,'Y','PH','N','N',1946,'PureDD','N','N','N','N',125.26,'Live'
'N','R','N','Y',2,1000000,7,0,0,1932,'W','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',167.67,'Live'
'N','R','N','Y',2,1000000,7,2500,15.45,1932,'P','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1980,'DD-Other','Y','N','N','N',219.48,'Live'
'Y','R','N','Y',7,1000000,3,0,0,1932,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',205.92,'Live'
'Y','R','N','Y',10,1000000,3,400,7.3,1932,'O','M','N','N',2,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',215.58,'Live'
'Y','E','N','Y',6,1000000,3,1800,11.12,1933,'O','F','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',269,'Live'
'N','R','N','Y',1,1000000,7,0,0,1933,'M','M','N','Y',2,11,15,'Y',30,'Y','PH','N','N',1946,'PureDD','N','N','N','N',135.64,'Live'
'N','R','N','Y',7,1000000,7,0,0,1933,'M','M','N','Y',2,11,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',137.21,'Live'
'N','R','N','Y',20,1000000,6,0,0,1933,'O','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','Y','Y','N','N',245.1,'Live'
'N','R','N','Y',0,1000000,4,0,0,1934,'S','M','N','N',2,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',127.89,'Live'
'N','R','N','Y',11,1000000,6,0,0,1934,'P','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',217.64,'Live'
'N','R','N','Y',13,1000000,9,0,0,1936,'M','M','N','N',3,11,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',189.71,'Lapsed'
'N','R','N','Y',13,1000000,7,0,0,1937,'W','F','N','Y',2,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',205.59,'Live'
'N','R','N','Y',7,1000000,6,1600,9.88,1937,'M','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',264.13,'Live'
'N','R','N','Y',2,1000000,6,0,0,1938,'O','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1920,'DD-Other','N','N','N','N',150.96,'Lapsed'
'Y','R','N','Y',2,1000000,2,0,0,1938,'W','F','N','Y',2,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','N','N','N','N',149.31,'Lapsed'
'N','R','N','Y',6,1000000,6,0,0,1939,'P','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','Y','N','N','N',140.09,'Live'
'Y','R','N','Y',13,1000000,6,0,0,1939,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','N','N',195,'Lapsed'
'N','R','N','Y',11,1000000,4,0,0,1940,'O','M','N','N',4,11,15,'Y',0,'Y','PH','N','N',1960,'PureDD','N','N','N','N',234.83,'Lapsed'
'N','R','N','Y',18,1000000,6,0,0,1940,'M','M','Y','Y',4,11,15,'Y',30,'N','PH','N','N',2000,'NonDD','N','N','N','Y',135.84,'Lapsed'
'N','R','N','Y',9,1000000,9,0,0,1941,'M','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','Y','Y','N','N',173.91,'Lapsed'
'N','R','N','Y',14,1000000,6,600,5.11,1941,'O','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',157.94,'Live'
'N','R','N','Y',13,1000000,5,0,0,1941,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','Y',188.78,'Live'
'N','R','N','Y',12,1000000,6,0,0,1942,'W','F','N','N',3,11,15,'Y',0,'Y','PH','N','N',1920,'DD-Other','N','N','N','N',172.21,'Live'
'N','R','N','Y',7,1000000,7,0,0,1943,'W','M','N','Y',3,11,15,'N',0,'N','PH','N','N',1960,'NonDD','N','N','N','N',192.28,'Live'
'N','R','N','Y',29,1000000,6,0,0,1943,'M','M','N','Y',3,11,15,'Y',30,'Y','PH','N','N',1960,'PureDD','N','N','N','N',133.84,'Cancelled'
'N','R','N','Y',15,1000000,7,5000,36.19,1943,'M','M','N','N',4,11,15,'Y',0,'N','PH','Y','N',1920,'NonDD','N','N','N','N',228.74,'Live'
'N','S','N','Y',15,1000000,6,0,0,1943,'M','M','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','Y','Y','N','N',283.74,'Lapsed'
'N','R','N','Y',3,1000000,6,0,0,1944,'P','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',222.48,'Live'
'N','E','N','Y',0,1000000,7,0,0,1945,'M','F','N','Y',2,11,15,'Y',30,'Y','PH','N','N',1869,'NonDD','N','N','N','N',215.78,'Live'
'N','R','N','Y',9,1000000,6,0,0,1945,'M','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1920,'NonDD','N','N','N','N',122.17,'Lapsed'
'N','R','N','Y',0,1000000,6,0,0,1946,'M','F','N','N',2,11,15,'Y',0,'N','PH','N','N',1869,'NonDD','N','N','N','N',258.78,'Live'
'N','R','N','Y',0,1000000,7,0,0,1947,'S','F','Y','Y',2,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',169.66,'Live'
'N','R','N','Y',13,1000000,7,0,0,1947,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1920,'PureDD','N','N','N','N',195.22,'Live'
'N','R','N','Y',47,1000000,6,0,0,1947,'M','M','N','Y',4,11,15,'N',0,'Y','PH','N','N',1980,'PureDD','N','N','N','N',413.64,'Live'
'N','R','Y','Y',22,1000000,6,300,14.66,1949,'M','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',567.64,'Live'
'N','E','N','Y',2,1000000,6,0,0,1949,'M','M','N','Y',4,11,15,'Y',30,'N','PH','N','N',1920,'NonDD','N','N','N','N',337.11,'Lapsed'
'N','R','N','Y',14,1000000,6,350,2.07,1950,'M','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1920,'PureDD','N','N','N','N',153.54,'Live'
'N','E','Y','Y',1,1000000,6,0,0,1951,'M','M','N','N',4,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','Y','N','N','N',325.88,'Live'
'Y','R','N','Y',13,1000000,6,0,0,1951,'W','F','N','N',4,19,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',381.14,'Live'
'N','R','N','Y',12,1000000,6,0,0,1951,'D','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',130.43,'Live'
'N','E','N','Y',17,1000000,6,0,0,1952,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',159.25,'Live'
'N','E','Y','Y',0,1000000,7,0,0,1954,'M','M','Y','Y',3,11,15,'Y',30,'N','PH','N','N',2000,'PureDD','N','N','N','N',139.85,'Live'
'N','E','N','Y',1,1000000,6,0,0,1955,'P','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1980,'NonDD','N','N','N','N',118.09,'Live'
'N','E','N','Y',32,1000000,6,0,0,1955,'D','F','N','Y',2,11,15,'Y',30,'N','PH','N','N',1920,'PureDD','N','N','N','N',166.76,'Lapsed'
'N','E','N','Y',17,1000000,7,300,11.44,1957,'P','M','N','N',2,11,3,'Y',30,'N','PH','N','N',1980,'PureDD','N','N','N','N',118.67,'Live'
'N','E','N','Y',9,1000000,7,0,0,1965,'A','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1946,'PureDD','N','N','N','N',193.69,'Live'
'Y','R','N','Y',8,1000000,3,0,0,1910,'P','F','N','N',2,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','N','N','N','N',206.23,'Live'
'Y','R','N','Y',13,1000000,3,0,0,1910,'P','F','N','Y',2,11,15,'Y',0,'Y','PH','N','N',1980,'PureDD','N','N','N','N',189.27,'Live'
'Y','R','N','Y',8,1000000,3,0,0,1910,'P','F','N','Y',4,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','N','N','N','N',364.04,'Live'
'N','R','N','Y',10,1000000,6,0,0,1915,'P','M','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',266.88,'Live'
'N','R','N','Y',11,1000000,6,0,0,1920,'P','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',193.36,'Live'
'N','R','N','Y',5,1000000,6,0,0,1922,'W','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',173.28,'Live'
'N','R','N','Y',0,1000000,6,0,0,1923,'S','F','N','N',2,11,15,'Y',0,'N','PH','N','N',1900,'PureDD','Y','N','N','N',312.81,'Lapsed'
'N','R','N','Y',22,1000000,7,1000,7.96,1927,'W','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','N','N',201.76,'Live'
'N','R','N','Y',18,1000000,6,0,0,1927,'W','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1900,'NonDD','N','N','N','N',214.89,'Live'
'N','R','N','Y',3,1000000,6,0,0,1928,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',156.23,'Live'
'N','R','N','Y',0,1000000,6,0,0,1929,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1920,'DD-Other','N','N','N','N',158.43,'Live'
'N','R','N','Y',0,1000000,6,0,0,1930,'M','M','N','Y',4,11,15,'Y',30,'N','PH','N','N',2000,'NonDD','N','N','N','N',159.06,'Live'
'N','R','N','Y',5,1000000,6,0,0,1930,'W','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1980,'NonDD','N','N','N','N',206.42,'Live'
'N','R','N','Y',1,1000000,6,0,0,1930,'W','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','Y','Y','N','N',258.87,'Lapsed'
'N','R','N','Y',9,1000000,4,0,0,1930,'W','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',209.2,'Live'
'N','R','N','Y',7,1000000,6,0,0,1930,'O','F','N','N',2,11,15,'Y',0,'N','PH','N','N',1900,'PureDD','N','N','N','N',217.22,'Live'
'N','R','N','Y',12,1000000,6,995,11.12,1930,'O','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','Y','Y','N','N',193.16,'Live'
'N','R','N','Y',5,1000000,6,0,0,1931,'M','M','N','N',2,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',165.98,'Live'
'N','R','N','Y',8,1000000,6,0,0,1931,'W','F','N','N',3,11,15,'N',0,'N','PH','N','N',1980,'NonDD','N','N','N','N',161.65,'Live'
'N','R','N','Y',9,1000000,5,0,0,1931,'M','M','N','N',3,11,15,'Y',0,'Y','PH','N','N',1920,'PureDD','N','N','N','N',210.02,'Lapsed'
