@relation home
@attribute claim3years {'N','Y'}
@attribute empStatus {'A','C','E','F','H','I','N','R','S','U','V'}
@attribute busUse {'N','Y'}
@attribute adBuild {'Y'}
@attribute riskRate numeric
@attribute insurSum numeric
@attribute grantYear numeric
@attribute specInsur numeric
@attribute specPrem numeric
@attribute birthYear numeric
@attribute marStatus {'A','B','C','D','M','N','O','P','S','W'}
@attribute sex {'F','M','N'}
@attribute alarm {'N','Y'}
@attribute lock {'N','Y'}
@attribute bedroom numeric
@attribute roofCon numeric
@attribute wallCon numeric
@attribute flood {'N','Y'}
@attribute unocc numeric
@attribute neigh {'N','Y'}
@attribute occStatus {'HH','LP','PH','UN','WD','WE'}
@attribute safeInstall {'N','Y'}
@attribute subside {'N','Y'}
@attribute yearBuild numeric
@attribute payment {'DD-Other','NonDD','PureDD'}
@attribute garBefore {'N','Y'}
@attribute garPost {'N','Y'}
@attribute keyBefore {'N','Y'}
@attribute keyAfter {'N','Y'}
@attribute lastPrem numeric
@attribute polStatus {'Cancelled','Lapsed','Live','Unknown'}
@data
'N','R','N','Y',18,1000000,6,0,0,1934,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','N','Y',173.81,'Live'
'N','R','N','Y',3,1000000,6,0,0,1935,'M','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1946,'NonDD','N','N','N','N',117.5,'Live'
'N','R','N','Y',23,1000000,6,0,0,1935,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1946,'NonDD','N','N','N','N',195.64,'Lapsed'
'N','R','N','Y',13,1000000,6,0,0,1937,'P','F','N','Y',1,11,15,'Y',0,'N','PH','N','N',1980,'NonDD','N','N','N','N',116.88,'Live'
'N','R','N','Y',7,1000000,5,0,0,1938,'W','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','N','N','N','N',263.83,'Live'
'N','R','N','Y',16,1000000,7,0,0,1938,'M','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1900,'PureDD','N','N','N','N',251.63,'Lapsed'
'N','R','N','Y',5,1000000,5,0,0,1939,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1980,'NonDD','N','N','N','N',128.63,'Live'
'N','R','N','Y',4,1000000,6,0,0,1941,'M','M','N','Y',4,11,15,'Y',30,'Y','PH','N','N',1960,'NonDD','N','N','N','N',199.19,'Lapsed'
'N','R','N','Y',11,1000000,6,0,0,1944,'M','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',212.3,'Live'
'N','R','N','Y',10,1000000,6,0,0,1945,'S','F','N','Y',4,11,15,'Y',30,'Y','PH','N','N',1870,'NonDD','N','N','N','N',183.71,'Lapsed'
'N','E','N','Y',16,1000000,6,0,0,1950,'B','F','N','Y',3,11,15,'N',30,'N','PH','N','N',1960,'NonDD','N','N','N','N',233.9,'Lapsed'
'N','R','N','Y',7,1000000,7,0,0,1950,'M','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1960,'PureDD','N','N','N','N',132.46,'Live'
'N','E','N','Y',0,1000000,9,0,0,1951,'M','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1990,'NonDD','N','N','N','N',109.47,'Lapsed'
'N','E','N','Y',1,1000000,6,0,0,1951,'M','M','N','N',3,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','Y','N',219.64,'Live'
'Y','E','N','Y',3,1000000,3,2000,12.24,1952,'M','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','N','N','N','N',277.11,'Live'
'N','E','N','Y',7,1000000,6,2000,10.42,1955,'M','M','N','Y',3,11,15,'N',0,'N','PH','N','N',1960,'NonDD','N','N','N','N',175.9,'Live'
'N','R','N','Y',11,1000000,6,0,0,1958,'W','M','N','N',2,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',169.07,'Live'
'N','E','N','Y',7,1000000,6,400,4.21,1971,'P','M','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',307.38,'Live'
'N','R','N','Y',17,1000000,7,0,0,1927,'W','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','Y','Y',190.41,'Live'
'N','R','N','Y',5,1000000,6,0,0,1932,'P','M','Y','Y',2,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','Y','Y','N','N',166.82,'Live'
'N','R','N','Y',21,1000000,6,0,0,1932,'O','M','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',269.89,'Lapsed'
'N','R','N','Y',28,1000000,6,0,0,1935,'M','M','N','N',3,11,15,'Y',30,'N','PH','N','N',1920,'NonDD','N','N','N','N',227.44,'Live'
'N','R','N','Y',3,1000000,6,0,0,1936,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',177.15,'Live'
'N','R','N','Y',0,1000000,7,2750,14.26,1939,'M','M','N','Y',4,11,15,'Y',30,'N','PH','N','N',1990,'NonDD','Y','Y','N','N',332.44,'Live'
'N','R','N','Y',18,1000000,6,0,0,1940,'M','M','Y','Y',4,11,15,'Y',30,'N','PH','N','N',2000,'NonDD','N','N','N','Y',135.84,'Lapsed'
'N','R','N','Y',9,1000000,9,0,0,1941,'M','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','Y','Y','N','N',173.91,'Lapsed'
'Y','R','N','Y',5,1000000,7,7700,49.06,1942,'M','M','N','Y',3,11,15,'Y',30,'Y','PH','Y','N',1920,'NonDD','N','N','N','N',395.1,'Lapsed'
'N','R','N','Y',9,1000000,7,7100,42.06,1944,'M','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',237.42,'Live'
'Y','R','N','Y',1,1000000,0,4000,28.31,1949,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','Y','Y','N','N',234.57,'Live'
'N','R','N','Y',5,1000000,6,540,10.22,1949,'P','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1900,'NonDD','N','N','N','N',261.97,'Lapsed'
'Y','E','N','Y',1,1000000,3,0,0,1955,'P','M','N','N',4,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','N','N','N','N',454.81,'Live'
'N','E','N','Y',13,1000000,6,2800,11.06,1956,'M','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1960,'PureDD','N','N','N','N',332.14,'Live'
'N','E','N','Y',15,1000000,7,0,0,1956,'A','F','N','N',2,11,15,'N',30,'N','PH','N','N',1980,'NonDD','N','N','N','N',122,'Live'
'N','R','N','Y',5,1000000,6,0,0,1922,'W','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',173.28,'Live'
'N','R','N','Y',8,1000000,7,0,0,1922,'W','F','N','N',3,11,15,'Y',30,'N','PH','N','N',1990,'DD-Other','N','N','N','N',193.49,'Live'
'N','R','N','Y',0,1000000,6,0,0,1927,'W','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',170.88,'Lapsed'
'N','R','N','Y',0,1000000,6,0,0,1927,'M','M','N','N',5,11,15,'Y',0,'N','PH','N','N',1900,'PureDD','N','N','Y','Y',383.77,'Live'
'N','R','N','Y',2,1000000,6,0,0,1931,'P','M','N','N',3,11,15,'Y',0,'Y','PH','N','N',1920,'NonDD','N','N','N','N',171.24,'Lapsed'
'N','R','N','Y',13,1000000,6,0,0,1932,'P','F','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',347.71,'Live'
'Y','R','N','Y',12,1000000,1,0,0,1937,'O','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'DD-Other','N','N','N','N',329.73,'Lapsed'
'N','R','N','Y',7,1000000,6,0,0,1938,'M','M','N','N',3,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','N','N',133.21,'Live'
'N','R','N','Y',5,1000000,6,0,0,1941,'O','F','N','Y',1,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',114.74,'Live'
'Y','R','N','Y',5,1000000,6,1589,13.1,1942,'W','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',2000,'PureDD','N','N','N','N',268.46,'Live'
'N','E','N','Y',11,1000000,6,0,0,1946,'O','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1980,'NonDD','N','N','N','N',136.16,'Live'
'N','R','N','Y',20,1000000,6,0,0,1947,'P','M','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',226.42,'Live'
'N','E','N','Y',1,1000000,7,0,0,1950,'P','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',182.63,'Live'
'N','E','N','Y',6,1000000,6,200,1.23,1953,'O','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1900,'PureDD','Y','Y','N','N',331.47,'Live'
'N','R','N','Y',20,1000000,6,0,0,1953,'C','M','N','N',2,11,15,'Y',0,'N','PH','N','N',1960,'NonDD','N','N','N','N',150.16,'Live'
'N','R','N','Y',12,1000000,6,0,0,1921,'M','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1960,'PureDD','N','N','N','N',154.92,'Live'
'Y','R','N','Y',19,1000000,0,0,0,1921,'O','N','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','Y','Y','N','N',509.95,'Live'
'N','R','N','Y',15,1000000,7,0,0,1926,'W','M','N','Y',2,11,15,'Y',0,'Y','PH','N','N',1960,'NonDD','N','N','N','N',141.78,'Lapsed'
'Y','R','N','Y',3,1000000,3,0,0,1930,'P','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1980,'NonDD','N','N','N','N',170.89,'Live'
'N','R','N','Y',37,1000000,6,2000,11.32,1930,'O','F','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',415.27,'Live'
'N','R','N','Y',5,1000000,5,0,0,1932,'P','M','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',176.58,'Live'
'N','R','N','Y',1,1000000,6,0,0,1934,'W','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',149.31,'Live'
'Y','R','N','Y',22,1000000,0,0,0,1934,'W','F','Y','Y',4,11,15,'Y',30,'Y','PH','N','N',1920,'PureDD','N','N','N','N',430.63,'Lapsed'
'N','R','N','Y',6,1000000,7,1100,45.1,1936,'M','M','N','Y',3,11,15,'Y',0,'Y','PH','Y','N',1960,'PureDD','N','N','N','N',234.22,'Lapsed'
'N','R','N','Y',15,1000000,6,0,0,1936,'P','F','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','Y','Y','N','N',218.24,'Lapsed'
'N','R','N','Y',4,1000000,6,0,0,1938,'P','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1980,'NonDD','N','N','N','N',175.72,'Live'
'Y','R','N','Y',7,1000000,3,0,0,1939,'P','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1946,'DD-Other','N','N','N','N',183.76,'Lapsed'
'N','R','N','Y',31,1000000,5,600,9.76,1942,'M','M','N','Y',4,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','N','N','N','N',174.25,'Lapsed'
'N','R','N','Y',10,1000000,6,0,0,1942,'D','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','Y','Y',224.19,'Live'
'N','E','N','Y',3,1000000,6,0,0,1943,'P','M','N','N',4,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','Y','Y','N','N',327.82,'Live'
'N','R','N','Y',0,1000000,6,0,0,1945,'M','M','N','N',4,11,15,'Y',0,'N','PH','N','N',1990,'PureDD','Y','Y','Y','Y',208.68,'Lapsed'
'Y','R','N','Y',1,1000000,0,0,0,1946,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',230.78,'Live'
'N','R','N','Y',6,1000000,9,0,0,1947,'M','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1960,'NonDD','N','N','N','N',163.91,'Live'
'N','R','N','Y',13,1000000,6,0,0,1917,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1980,'NonDD','N','N','N','N',356.67,'Lapsed'
'N','R','N','Y',12,1000000,6,0,0,1919,'W','M','N','Y',2,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','N','N',116.22,'Live'
'Y','R','N','Y',1,1000000,0,0,0,1925,'O','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',174.85,'Lapsed'
'N','R','N','Y',3,1000000,6,0,0,1925,'O','F','N','N',2,11,15,'Y',0,'N','PH','N','N',1980,'NonDD','N','N','N','N',129.89,'Live'
'N','R','N','Y',2,1000000,6,0,0,1926,'O','M','N','Y',2,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',137.51,'Lapsed'
'N','R','N','Y',5,1000000,6,0,0,1927,'W','M','N','N',2,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','Y','Y','N','N',223.96,'Live'
'N','R','N','Y',13,1000000,5,0,0,1927,'P','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',174.64,'Live'
'N','R','N','Y',3,1000000,7,0,0,1928,'W','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1869,'PureDD','N','N','N','N',275.85,'Live'
'N','R','N','Y',19,1000000,6,0,0,1930,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','N','N',201.38,'Lapsed'
'N','R','N','Y',22,1000000,6,12210,202.04,1935,'M','M','N','Y',2,11,15,'Y',0,'N','PH','Y','N',1960,'PureDD','N','N','N','N',288.75,'Live'
'N','R','N','Y',13,1000000,7,0,0,1936,'M','M','N','N',3,11,15,'Y',30,'N','PH','N','N',1946,'PureDD','N','N','N','N',142.99,'Live'
'N','R','N','Y',0,1000000,6,0,0,1940,'M','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1960,'NonDD','N','N','N','N',149.74,'Lapsed'
'N','R','N','Y',10,1000000,6,0,0,1941,'M','M','N','N',2,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','N','N',132.02,'Lapsed'
'N','R','N','Y',12,1000000,7,0,0,1943,'M','M','N','N',3,11,15,'Y',30,'N','PH','N','N',1946,'NonDD','N','N','N','N',188.8,'Lapsed'
'N','E','N','Y',11,1000000,7,0,0,1950,'W','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1980,'PureDD','N','N','N','N',136.07,'Live'
'N','E','N','Y',20,1000000,6,0,0,1950,'M','M','N','Y',4,11,15,'Y',30,'N','PH','N','N',1920,'NonDD','N','N','N','N',157.42,'Live'
'N','E','N','Y',3,1000000,6,0,0,1956,'S','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1870,'NonDD','N','N','N','N',302.22,'Live'
'N','E','N','Y',21,1000000,7,1800,7.23,1959,'M','F','N','Y',3,11,15,'Y',30,'Y','PH','N','N',1946,'PureDD','Y','Y','N','N',242.97,'Cancelled'
'N','R','N','Y',0,1000000,6,0,0,1923,'W','M','N','Y',4,11,15,'Y',0,'N','PH','N','N',2000,'PureDD','N','N','N','N',106.28,'Cancelled'
'N','R','N','Y',13,1000000,6,0,0,1926,'M','F','N','N',3,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','N','N',157.63,'Lapsed'
'N','R','N','Y',25,1000000,6,19999,49.71,1926,'W','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1869,'NonDD','Y','Y','Y','Y',422.84,'Lapsed'
'N','R','N','Y',12,1000000,6,0,0,1928,'M','M','N','Y',3,11,15,'Y',30,'Y','PH','N','N',1980,'NonDD','N','N','N','N',124.69,'Lapsed'
'N','R','N','Y',0,1000000,7,0,0,1929,'W','M','N','Y',2,11,15,'Y',0,'Y','PH','N','N',1960,'NonDD','N','N','N','N',204.65,'Live'
'N','R','N','Y',15,1000000,6,0,0,1929,'W','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','N','N','N','N',217,'Lapsed'
'N','E','N','Y',0,1000000,6,0,0,1934,'M','M','N','N',4,11,15,'Y',0,'Y','PH','N','N',1960,'NonDD','N','N','N','N',205.7,'Live'
'N','R','N','Y',0,1000000,6,0,0,1940,'M','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',209.81,'Live'
'N','R','N','Y',5,1000000,6,800,23.31,1940,'P','M','N','N',2,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',227.08,'Cancelled'
'N','R','N','Y',3,1000000,6,0,0,1944,'M','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1980,'DD-Other','N','N','N','N',160.3,'Live'
'N','R','N','Y',1,1000000,6,0,0,1945,'P','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','N','N','N','N',223.48,'Live'
'N','E','N','Y',7,1000000,7,0,0,1949,'M','F','N','Y',3,11,15,'Y',30,'Y','PH','N','N',1960,'PureDD','N','N','N','N',170.86,'Live'
'N','E','N','Y',16,1000000,6,0,0,1951,'P','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','N','N','N','N',244.06,'Live'
'N','E','Y','Y',0,1000000,6,0,0,1954,'M','M','N','Y',4,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','N','N',211.57,'Live'
'N','R','N','Y',7,1000000,5,0,0,1923,'P','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','Y','Y','N','N',254.86,'Live'
'N','R','N','Y',2,1000000,9,0,0,1925,'W','F','N','N',2,11,15,'Y',0,'Y','PH','N','N',1920,'NonDD','N','N','N','N',139.6,'Live'
'N','R','N','Y',8,1000000,5,0,0,1930,'P','M','N','Y',2,11,15,'Y',0,'Y','PH','N','N',1946,'NonDD','N','N','N','N',222.82,'Live'
'N','R','N','Y',0,1000000,7,0,0,1932,'W','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',125.11,'Live'
'N','R','N','Y',8,1000000,6,0,0,1932,'P','F','N','N',2,11,15,'Y',0,'Y','PH','N','N',1980,'DD-Other','N','N','N','N',190.57,'Live'
'N','R','N','Y',11,1000000,4,0,0,1934,'M','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1980,'NonDD','N','N','N','N',171.7,'Live'
'N','R','N','Y',6,1000000,6,4000,23.7,1937,'M','F','N','N',2,11,15,'Y',30,'N','PH','Y','N',1960,'NonDD','N','N','N','N',181.44,'Live'
'Y','R','N','Y',0,1000000,5,0,0,1940,'M','M','N','N',2,11,15,'Y',30,'N','PH','N','N',1946,'PureDD','N','N','N','N',211.29,'Live'
'N','R','N','Y',10,1000000,6,0,0,1940,'M','M','N','Y',2,11,15,'Y',30,'Y','PH','N','N',1960,'NonDD','N','N','N','N',119.17,'Live'
'N','R','N','Y',9,1000000,6,0,0,1942,'M','M','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1900,'NonDD','Y','N','Y','Y',237.18,'Live'
'N','R','N','Y',21,1000000,6,0,0,1924,'P','F','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','Y','Y','N','N',349.32,'Live'
'N','R','N','Y',0,1000000,7,0,0,1927,'M','F','N','N',3,11,15,'Y',30,'N','PH','N','N',1960,'PureDD','N','N','N','N',234.32,'Live'
'N','R','N','Y',13,1000000,6,0,0,1930,'M','M','N','N',3,11,15,'Y',0,'Y','PH','N','N',1980,'NonDD','N','N','Y','N',230.63,'Live'
'N','R','N','Y',4,1000000,6,2000,11.85,1933,'M','M','N','Y',2,11,15,'Y',30,'N','PH','N','N',1980,'NonDD','N','N','N','N',96.86,'Lapsed'
'N','R','N','Y',6,1000000,7,0,0,1935,'M','M','N','Y',4,11,15,'Y',30,'N','PH','N','N',1980,'NonDD','Y','Y','N','N',144.47,'Lapsed'
'Y','R','N','Y',2,1000000,3,0,0,1935,'P','M','N','N',2,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','Y','Y','N','N',192.23,'Live'
'N','R','N','Y',0,1000000,6,0,0,1936,'M','M','N','Y',2,11,15,'Y',30,'N','PH','N','N',1990,'NonDD','N','N','N','N',99,'Lapsed'
'N','R','N','Y',16,1000000,6,0,0,1939,'M','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1920,'NonDD','N','N','N','N',149.54,'Lapsed'
'N','R','N','Y',0,1000000,6,0,0,1943,'M','M','N','N',3,11,15,'Y',30,'N','PH','N','N',1869,'NonDD','N','N','N','N',226.72,'Live'
'N','R','N','Y',1,1000000,5,0,0,1944,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',188.8,'Live'
'N','R','N','Y',29,1000000,6,0,0,1944,'M','M','N','N',2,11,15,'Y',30,'N','PH','N','N',1920,'PureDD','N','N','N','N',249.56,'Live'
'N','R','N','Y',9,1000000,6,0,0,1945,'M','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1960,'PureDD','N','N','N','N',151.96,'Live'
'N','R','N','Y',16,1000000,6,0,0,1946,'M','M','N','N',3,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','N','N',151.84,'Live'
'N','E','N','Y',3,1000000,7,0,0,1951,'M','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1900,'NonDD','N','N','N','N',225.83,'Lapsed'
'N','E','N','Y',19,1000000,6,4500,35.82,1951,'M','F','N','Y',3,11,15,'Y',30,'N','PH','N','N',1920,'PureDD','N','N','N','N',216.47,'Live'
'Y','E','N','Y',9,1000000,3,6000,63.33,1953,'M','M','N','Y',4,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','N','N','N','N',408.98,'Live'
'N','E','N','Y',7,1000000,6,0,0,1953,'P','M','N','Y',2,11,15,'Y',0,'Y','PH','N','N',1980,'PureDD','N','N','N','N',248.56,'Live'
'N','E','N','Y',17,1000000,7,0,0,1966,'D','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1960,'NonDD','N','N','N','N',264.86,'Lapsed'
'N','R','N','Y',1,1000000,7,0,0,1927,'M','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1960,'PureDD','N','N','N','N',156.17,'Lapsed'
'N','R','N','Y',13,1000000,4,0,0,1932,'M','F','Y','Y',3,11,15,'Y',0,'Y','PH','N','N',1960,'NonDD','N','N','N','N',154.81,'Live'
'N','R','N','Y',19,1000000,6,3000,23.88,1934,'O','M','N','Y',4,11,15,'Y',30,'N','PH','N','N',1960,'NonDD','N','N','N','N',297,'Lapsed'
'N','E','N','Y',7,1000000,7,0,0,1939,'D','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'PureDD','N','N','N','N',213.51,'Live'
'N','R','N','Y',22,1000000,6,0,0,1940,'O','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1900,'NonDD','N','N','N','N',217.58,'Lapsed'
'N','R','N','Y',1,1000000,6,0,0,1941,'M','M','N','Y',4,11,15,'Y',30,'N','PH','N','N',1990,'NonDD','N','N','N','N',125.77,'Lapsed'
'N','R','N','Y',0,1000000,7,0,0,1942,'S','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',161.96,'Live'
'N','R','N','Y',10,1000000,6,0,0,1948,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',220.75,'Live'
'N','E','N','Y',16,1000000,7,0,0,1948,'M','M','N','Y',3,11,15,'Y',30,'N','PH','N','N',1900,'PureDD','N','N','N','N',275.14,'Lapsed'
'N','N','N','Y',0,1000000,6,0,0,1953,'S','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1900,'NonDD','N','N','N','N',195.95,'Lapsed'
'N','E','N','Y',2,1000000,6,0,0,1953,'M','M','N','Y',2,11,15,'Y',30,'Y','PH','N','N',1960,'NonDD','N','N','N','N',146.29,'Lapsed'
'N','E','Y','Y',5,1000000,6,0,0,1954,'M','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1960,'PureDD','N','N','N','N',212.05,'Live'
'N','E','N','Y',2,1000000,7,1550,38.49,1957,'M','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1980,'NonDD','N','N','N','N',287.37,'Lapsed'
'N','R','N','Y',1,1000000,6,0,0,1924,'O','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',135.8,'Live'
'N','R','N','Y',3,1000000,6,0,0,1924,'W','F','N','N',1,11,15,'Y',30,'N','PH','N','N',1980,'NonDD','N','N','N','N',135.76,'Live'
'N','R','N','Y',0,1000000,6,0,0,1926,'M','M','N','Y',2,11,15,'Y',30,'N','PH','N','N',1920,'NonDD','N','N','N','N',161.76,'Lapsed'
