@relation user

@attribute id numeric
@attribute wei numeric
@attribute gen {female, male}
@attribute cat {no, yes}
@attribute res {Western, S.Eastern, N.Eastern, Belfast, Southern}
@attribute sch {secondary, gramma}
@attribute fue {yes, no}
@attribute gcs {yes, no}
@attribute fmp {yes, no}
@attribute lvb {yes, no}
@attribute tra numeric
@attribute emp numeric
@attribute jol numeric
@attribute fe numeric
@attribute he numeric
@attribute ascc numeric

@data
59,0.89,male,yes,N.Eastern,secondary,no,no,yes,no,26,46,0,0,0,0
60,0.89,male,yes,N.Eastern,secondary,no,no,no,yes,14,58,0,0,0,0
61,0.23,male,no,N.Eastern,secondary,no,no,no,yes,0,58,2,12,0,0
62,0.4,male,no,N.Eastern,secondary,no,no,no,no,0,28,10,34,0,0
63,0.87,female,no,N.Eastern,secondary,no,yes,no,yes,0,0,0,12,34,26
64,0.4,male,no,N.Eastern,secondary,no,no,yes,no,0,48,1,23,0,0
65,0.4,male,no,N.Eastern,secondary,no,no,no,yes,2,60,0,10,0,0
66,0.89,male,yes,N.Eastern,secondary,no,no,no,yes,24,48,0,0,0,0
67,0.87,male,yes,N.Eastern,secondary,no,yes,yes,yes,0,3,2,0,33,34
68,0.23,female,yes,N.Eastern,secondary,yes,no,no,no,0,72,0,0,0,0
69,0.89,male,yes,N.Eastern,secondary,no,no,no,no,44,28,0,0,0,0
70,0.4,female,yes,N.Eastern,secondary,yes,no,no,no,10,37,3,22,0,0
71,0.23,male,yes,N.Eastern,secondary,no,no,yes,yes,0,54,18,0,0,0
72,0.87,female,yes,N.Eastern,secondary,no,yes,no,yes,0,1,15,0,32,24
73,0.4,male,no,N.Eastern,secondary,no,no,no,yes,12,50,0,10,0,0
74,0.4,female,yes,N.Eastern,secondary,no,no,no,no,0,33,5,34,0,0
75,4.46,female,yes,Western,gramma,no,yes,no,yes,0,10,0,0,24,38
76,0.33,female,yes,Western,secondary,no,no,no,yes,2,70,0,0,0,0
77,0.57,male,no,Western,secondary,no,no,no,no,0,58,0,14,0,0
78,1.59,male,yes,Western,secondary,no,no,no,no,25,47,0,0,0,0
79,1.1,male,yes,Western,secondary,no,no,no,no,0,36,0,0,0,36
80,4.46,female,yes,Western,gramma,no,no,no,no,0,46,0,0,0,26
81,0.57,male,yes,Western,secondary,no,no,yes,yes,0,59,0,13,0,0
82,0.33,male,yes,Western,secondary,no,no,no,no,0,68,4,0,0,0
83,0.57,male,yes,Western,secondary,no,no,no,yes,0,0,0,38,34,0
84,1.59,male,no,Western,secondary,yes,no,no,yes,49,23,0,0,0,0
85,1.59,female,yes,Western,secondary,no,no,yes,no,13,56,2,1,0,0
86,1.59,male,yes,Western,secondary,yes,no,no,yes,56,3,13,0,0,0
87,1.59,female,yes,Western,secondary,yes,no,no,yes,22,48,2,0,0,0
88,0.33,male,yes,Western,secondary,yes,no,no,no,2,39,31,0,0,0
89,1.59,female,yes,Western,secondary,no,no,no,yes,15,31,26,0,0,0
90,1.1,male,yes,Western,secondary,no,no,no,yes,6,61,2,0,0,3
91,0.33,male,yes,Belfast,gramma,no,no,no,yes,35,17,20,0,0,0
92,0.71,male,yes,Belfast,secondary,yes,no,no,yes,21,48,3,0,0,0
93,0.71,male,yes,Belfast,secondary,yes,no,no,yes,38,34,0,0,0,0
94,0.71,male,yes,Belfast,secondary,yes,no,no,no,20,0,52,0,0,0
95,0.71,male,yes,Belfast,secondary,no,no,no,no,18,48,0,6,0,0
96,0.71,male,yes,Belfast,secondary,no,no,no,no,16,56,0,0,0,0
97,0.21,female,no,Belfast,secondary,no,no,no,no,2,46,24,0,0,0
98,4.1,female,no,Belfast,secondary,yes,no,no,yes,0,38,6,20,0,8
99,0.21,male,yes,Belfast,secondary,no,no,no,no,14,24,34,0,0,0
100,4.1,female,yes,Belfast,secondary,no,no,no,yes,0,40,4,0,0,28
101,0.71,male,yes,Belfast,secondary,yes,no,no,no,60,0,12,0,0,0
102,4.1,male,yes,Belfast,secondary,yes,no,no,yes,0,0,26,37,0,9
103,0.71,male,no,Belfast,secondary,no,no,no,no,20,29,23,0,0,0
104,1.5,female,no,Belfast,gramma,no,no,no,no,17,0,55,0,0,0
105,0.71,female,no,Belfast,secondary,no,no,no,no,15,57,0,0,0,0
106,0.71,female,yes,Belfast,secondary,no,no,no,no,10,62,0,0,0,0
107,4.1,female,no,Belfast,gramma,no,yes,no,yes,5,37,21,0,0,9
108,4.1,female,no,Belfast,secondary,no,no,no,yes,13,48,2,0,0,9
109,0.4,female,no,N.Eastern,secondary,no,no,no,yes,0,29,7,36,0,0
110,0.71,male,no,Belfast,secondary,no,no,no,yes,7,57,8,0,0,0
111,0.45,male,yes,Southern,secondary,yes,no,no,no,48,2,0,22,0,0
112,0.45,female,yes,Southern,secondary,no,yes,no,yes,0,3,0,24,45,0
113,0.28,female,yes,Southern,secondary,yes,no,no,no,0,7,65,0,0,0
114,0.45,male,yes,Southern,secondary,no,no,no,yes,0,49,7,16,0,0
115,0.45,male,no,Southern,secondary,no,no,no,yes,0,0,0,50,22,0
116,0.28,male,yes,Southern,secondary,yes,no,no,no,0,72,0,0,0,0
117,0.45,female,yes,Southern,secondary,no,no,no,yes,0,36,0,36,0,0
118,0.98,male,no,Southern,secondary,no,no,yes,no,23,49,0,0,0,0
119,0.4,male,yes,N.Eastern,secondary,no,no,no,yes,16,44,0,12,0,0
120,0.23,male,no,N.Eastern,gramma,no,no,no,yes,0,72,0,0,0,0
121,0.89,male,no,N.Eastern,secondary,no,no,no,yes,24,36,0,12,0,0
122,0.5,female,no,N.Eastern,gramma,yes,yes,no,yes,9,60,3,0,0,0
123,0.64,male,yes,N.Eastern,gramma,no,yes,yes,yes,23,37,2,10,0,0
124,0.4,female,no,N.Eastern,secondary,no,yes,yes,yes,0,38,13,21,0,0
125,0.4,female,yes,N.Eastern,secondary,no,yes,no,yes,0,34,3,35,0,0
126,0.89,female,no,N.Eastern,secondary,no,no,no,yes,24,48,0,0,0,0
127,0.89,male,no,N.Eastern,secondary,yes,no,no,yes,23,49,0,0,0,0
128,0.89,female,no,N.Eastern,secondary,no,no,no,yes,12,60,0,0,0,0
129,0.64,male,no,N.Eastern,gramma,no,yes,no,yes,0,2,0,25,45,0
130,0.4,female,no,N.Eastern,secondary,no,yes,yes,no,0,1,2,24,45,0
131,0.89,male,no,N.Eastern,secondary,no,no,no,no,39,33,0,0,0,0
132,0.5,female,no,N.Eastern,gramma,no,no,no,yes,15,48,9,0,0,0
133,1.78,male,no,N.Eastern,gramma,no,yes,yes,yes,0,0,2,0,46,24
134,0.23,male,no,N.Eastern,secondary,no,yes,yes,no,0,71,0,1,0,0
135,0.89,male,no,N.Eastern,secondary,no,no,no,yes,22,38,0,12,0,0
136,0.89,female,no,N.Eastern,secondary,no,yes,yes,yes,21,51,0,0,0,0
137,1.78,male,no,N.Eastern,gramma,no,yes,no,no,0,5,10,0,34,23
138,0.89,female,no,N.Eastern,secondary,no,no,no,yes,31,0,41,0,0,0
139,0.5,male,no,N.Eastern,gramma,no,no,yes,yes,22,48,2,0,0,0
140,0.89,male,no,N.Eastern,secondary,no,yes,yes,yes,10,61,1,0,0,0
141,0.89,female,no,N.Eastern,secondary,no,yes,no,no,23,49,0,0,0,0
142,0.64,male,no,N.Eastern,gramma,no,yes,yes,yes,0,9,3,24,36,0
143,1.78,male,no,N.Eastern,gramma,no,yes,yes,yes,0,9,0,0,37,26
144,1.78,male,no,N.Eastern,gramma,no,yes,no,yes,0,10,2,0,34,26
145,0.4,male,no,N.Eastern,secondary,no,yes,no,no,0,42,2,24,4,0
146,0.4,female,no,N.Eastern,secondary,no,no,yes,no,0,36,0,36,0,0
147,0.71,female,yes,Belfast,secondary,yes,no,no,no,9,63,0,0,0,0
148,0.71,female,yes,Belfast,secondary,no,yes,yes,yes,7,18,43,4,0,0
149,0.93,female,yes,Southern,secondary,no,no,no,yes,14,36,12,0,0,10
150,0.28,male,yes,Southern,secondary,yes,no,no,yes,0,72,0,0,0,0
151,0.69,male,yes,Southern,gramma,no,no,no,yes,27,36,0,9,0,0
152,0.45,female,yes,Southern,secondary,no,no,no,no,23,23,4,22,0,0
153,0.28,female,yes,Southern,gramma,no,no,no,yes,0,58,14,0,0,0
154,0.69,female,yes,Southern,gramma,no,yes,no,yes,13,35,2,22,0,0
155,0.23,male,no,N.Eastern,secondary,no,no,no,no,0,70,2,0,0,0
156,0.89,male,no,N.Eastern,secondary,no,no,no,yes,61,11,0,0,0,0
157,0.64,female,no,N.Eastern,gramma,no,no,no,no,0,57,0,15,0,0
158,0.4,female,no,N.Eastern,secondary,no,yes,no,no,0,9,0,27,36,0
159,0.4,male,no,N.Eastern,secondary,no,no,no,no,0,57,0,15,0,0
160,0.89,female,no,N.Eastern,secondary,no,no,no,yes,4,66,2,0,0,0
161,0.89,female,no,N.Eastern,secondary,no,no,no,no,8,64,0,0,0,0
162,0.21,male,no,Belfast,gramma,no,no,no,yes,12,30,1,0,0,29
163,0.4,male,no,N.Eastern,secondary,no,no,no,yes,0,64,0,8,0,0
164,1.07,male,no,Belfast,secondary,no,no,no,yes,22,40,0,10,0,0
165,1.07,female,yes,Belfast,secondary,yes,no,no,no,35,35,0,2,0,0
166,0.21,male,yes,Belfast,secondary,no,no,no,yes,0,71,1,0,0,0
167,0.69,female,no,S.Eastern,secondary,yes,no,no,yes,0,36,2,34,0,0
168,0.75,female,no,S.Eastern,gramma,no,no,yes,yes,0,35,9,28,0,0
169,0.21,male,no,Belfast,secondary,no,no,no,no,0,72,0,0,0,0
170,0.64,female,no,N.Eastern,gramma,no,no,yes,no,0,14,3,46,9,0
171,1.07,male,no,Belfast,secondary,no,no,yes,no,2,50,10,10,0,0
172,0.75,female,no,S.Eastern,gramma,no,no,yes,yes,0,37,1,34,0,0
173,2.88,male,no,S.Eastern,secondary,no,no,yes,no,0,21,7,44,0,0
174,0.69,male,no,S.Eastern,secondary,no,no,no,yes,31,35,2,4,0,0
175,0.45,male,no,Southern,secondary,no,yes,no,no,0,0,2,25,45,0
176,0.45,female,no,Southern,secondary,no,yes,no,yes,0,48,2,22,0,0
177,0.45,female,no,Southern,secondary,no,yes,no,no,0,28,5,31,8,0
178,0.28,male,no,Southern,secondary,no,no,no,no,0,69,3,0,0,0
179,0.28,female,yes,Southern,secondary,yes,no,no,yes,0,70,2,0,0,0
180,0.45,female,yes,Southern,secondary,no,yes,no,yes,0,50,0,22,0,0
181,0.45,male,yes,Southern,secondary,no,no,no,no,0,5,2,32,9,24
182,0.45,female,no,Southern,secondary,no,no,no,yes,0,26,0,46,0,0
183,0.69,female,no,S.Eastern,secondary,no,no,no,yes,0,62,0,10,0,0
184,0.98,male,no,Southern,secondary,no,no,yes,no,22,48,2,0,0,0
185,2.88,male,no,Southern,secondary,no,yes,no,no,23,18,18,13,0,0
186,0.45,female,no,Southern,secondary,no,no,no,yes,0,70,0,2,0,0
187,0.98,male,yes,Southern,secondary,no,no,yes,no,30,40,2,0,0,0
188,0.45,female,no,Southern,secondary,no,no,no,yes,0,33,36,3,0,0
189,0.45,female,no,Southern,secondary,no,no,yes,no,0,35,2,24,11,0
190,2.88,female,no,Southern,secondary,no,no,no,no,0,50,21,1,0,0
191,0.89,male,no,N.Eastern,secondary,no,no,no,no,46,26,0,0,0,0
192,0.4,female,yes,N.Eastern,secondary,no,yes,no,yes,0,49,0,23,0,0
193,0.23,female,yes,N.Eastern,secondary,no,yes,yes,yes,2,70,0,0,0,0
194,1.78,female,no,N.Eastern,gramma,no,yes,no,yes,0,15,0,0,33,24
195,0.89,male,no,N.Eastern,secondary,no,no,yes,yes,36,36,0,0,0,0
196,0.87,female,yes,N.Eastern,secondary,no,yes,yes,yes,0,0,26,22,0,24
197,0.4,female,yes,N.Eastern,secondary,no,no,yes,no,0,48,2,22,0,0
198,0.4,male,yes,N.Eastern,secondary,no,yes,no,yes,0,2,0,22,48,0
199,0.4,female,yes,N.Eastern,secondary,yes,yes,no,yes,0,45,2,25,0,0
200,0.4,female,yes,N.Eastern,secondary,yes,no,no,yes,0,27,11,34,0,0
201,0.23,male,yes,N.Eastern,secondary,yes,no,no,yes,0,72,0,0,0,0
202,0.23,male,yes,N.Eastern,secondary,yes,no,no,yes,0,72,0,0,0,0
203,0.87,female,no,N.Eastern,secondary,yes,no,no,no,0,27,2,19,0,24
204,0.4,female,no,N.Eastern,secondary,yes,no,no,yes,26,10,21,15,0,0
205,0.89,female,no,N.Eastern,secondary,yes,yes,no,yes,24,48,0,0,0,0
206,0.87,female,yes,N.Eastern,secondary,yes,yes,no,yes,0,2,2,22,22,24
207,0.64,male,yes,N.Eastern,gramma,no,yes,no,yes,0,5,0,10,45,12
208,1.78,female,yes,N.Eastern,gramma,no,yes,no,yes,0,18,1,0,29,24
209,0.87,male,yes,N.Eastern,secondary,no,yes,yes,yes,0,14,0,23,0,35
210,0.23,male,yes,N.Eastern,secondary,no,no,yes,no,0,24,48,0,0,0
211,0.4,female,no,N.Eastern,secondary,no,no,no,yes,0,48,2,22,0,0
212,0.69,male,yes,S.Eastern,secondary,no,no,no,no,0,63,0,9,0,0
213,0.55,male,no,S.Eastern,secondary,no,no,no,no,0,72,0,0,0,0
214,0.69,male,no,S.Eastern,secondary,no,no,no,yes,0,48,0,24,0,0
215,0.69,female,yes,S.Eastern,secondary,no,yes,no,yes,0,14,0,24,34,0
216,0.69,female,yes,S.Eastern,secondary,no,yes,no,yes,0,2,0,24,46,0
217,0.69,female,yes,S.Eastern,secondary,no,no,yes,yes,0,48,0,24,0,0
218,0.69,male,no,S.Eastern,secondary,no,yes,yes,yes,0,24,0,48,0,0
219,3.6,male,yes,S.Eastern,secondary,no,no,yes,yes,0,0,8,38,0,26
220,0.69,female,yes,S.Eastern,secondary,no,yes,no,yes,0,3,0,24,45,0
221,1.59,male,no,Western,secondary,yes,no,no,yes,12,45,15,0,0,0
222,0.57,male,no,Western,secondary,yes,no,no,yes,0,2,0,42,28,0
223,1.59,male,yes,Western,secondary,no,no,no,yes,5,65,2,0,0,0
224,0.57,female,no,Western,secondary,no,yes,no,no,0,62,0,10,0,0
225,0.57,female,no,Western,secondary,no,yes,no,no,32,36,0,4,0,0
226,0.33,female,yes,Western,secondary,yes,no,no,no,28,31,13,0,0,0
227,1.59,male,yes,Western,secondary,yes,no,no,yes,18,0,36,18,0,0
228,4.46,female,yes,Western,gramma,no,yes,no,yes,0,2,0,0,45,25
229,0.33,male,yes,Western,secondary,yes,no,no,yes,0,46,26,0,0,0
230,0.57,female,yes,Western,secondary,no,yes,no,yes,0,0,2,24,46,0
231,2.88,male,yes,Western,secondary,no,no,no,yes,0,44,28,0,0,0
232,0.57,female,yes,Western,secondary,yes,yes,no,yes,10,0,26,36,0,0
233,0.57,female,yes,Western,secondary,no,yes,no,yes,0,18,0,33,21,0
234,4.46,female,no,Western,gramma,no,yes,yes,yes,0,2,0,0,46,24
235,4.46,female,yes,Western,gramma,no,yes,yes,yes,0,6,2,0,39,25
236,1.1,male,yes,Western,secondary,no,yes,no,yes,0,0,17,0,31,24
237,0.33,male,yes,Western,secondary,no,yes,yes,yes,0,72,0,0,0,0
238,1.78,male,yes,N.Eastern,gramma,no,yes,no,yes,0,2,0,0,45,25
239,0.64,male,yes,N.Eastern,gramma,no,yes,yes,yes,0,0,10,27,35,0
240,0.4,male,no,N.Eastern,secondary,no,no,yes,yes,11,40,11,10,0,0
241,0.57,male,yes,Western,secondary,no,yes,yes,no,33,29,0,10,0,0
242,0.45,male,no,Southern,secondary,no,yes,no,no,0,58,0,7,0,7
243,0.45,female,yes,Southern,secondary,no,no,no,yes,11,35,2,24,0,0
244,0.45,female,yes,Southern,secondary,yes,no,no,yes,4,42,0,26,0,0
245,0.45,male,yes,Southern,secondary,yes,yes,yes,yes,0,15,0,26,31,0
246,0.45,female,no,Southern,secondary,yes,yes,no,no,0,13,0,24,35,0
247,0.4,female,no,N.Eastern,secondary,no,yes,no,no,0,46,4,22,0,0
248,1.78,female,yes,N.Eastern,gramma,no,yes,no,no,0,48,0,0,0,24
249,0.87,female,no,N.Eastern,secondary,no,no,no,no,0,38,10,0,0,24
250,0.87,male,no,N.Eastern,secondary,no,no,yes,yes,12,46,4,0,0,10
251,0.89,male,no,N.Eastern,secondary,no,no,yes,yes,22,50,0,0,0,0
252,0.89,male,no,N.Eastern,secondary,no,no,no,yes,22,48,2,0,0,0
253,0.23,female,no,N.Eastern,secondary,no,no,yes,no,0,65,7,0,0,0
254,2.88,female,no,N.Eastern,secondary,no,no,no,yes,0,0,72,0,0,0
255,0.45,female,yes,Southern,secondary,yes,yes,yes,no,0,46,2,24,0,0
256,1.31,female,yes,Southern,gramma,no,yes,no,no,0,0,0,0,46,26
257,1.31,female,yes,Southern,gramma,yes,no,no,yes,0,0,0,12,34,26
258,1.31,female,no,Southern,gramma,no,no,yes,yes,0,0,0,0,45,27
259,0.93,male,no,Southern,secondary,no,no,no,yes,0,1,0,0,45,26
260,1.31,male,yes,Southern,gramma,yes,no,no,yes,0,0,13,0,33,26
261,0.45,male,yes,Southern,secondary,no,no,yes,no,5,12,2,53,0,0
262,0.98,female,yes,Southern,secondary,no,no,no,yes,19,0,53,0,0,0
263,0.28,male,yes,Southern,secondary,no,no,no,yes,0,72,0,0,0,0
264,0.98,female,yes,Southern,secondary,no,yes,yes,no,15,12,18,27,0,0
265,0.98,male,yes,Southern,secondary,no,no,no,no,60,12,0,0,0,0
266,0.28,male,no,Southern,secondary,no,no,no,yes,8,64,0,0,0,0
267,0.98,male,yes,Southern,secondary,yes,no,no,yes,24,12,0,36,0,0
268,0.98,female,yes,Southern,secondary,no,no,no,no,22,37,13,0,0,0
269,0.45,female,yes,Southern,secondary,no,yes,no,no,0,5,0,34,33,0
270,0.45,female,yes,Southern,secondary,yes,no,no,yes,9,26,25,12,0,0
271,0.45,male,yes,Southern,secondary,no,no,no,yes,0,19,32,21,0,0
272,0.89,male,yes,N.Eastern,secondary,no,no,no,yes,24,48,0,0,0,0
273,1.31,male,yes,Southern,gramma,no,yes,yes,no,0,15,0,0,30,27
274,3.6,male,yes,S.Eastern,secondary,no,yes,yes,no,10,0,0,0,24,38
275,0.69,male,no,S.Eastern,secondary,no,no,no,yes,0,26,0,46,0,0
276,2,female,no,S.Eastern,secondary,yes,no,no,yes,21,50,1,0,0,0
277,0.4,male,yes,N.Eastern,secondary,no,no,yes,yes,0,53,2,17,0,0
278,1.1,female,no,Western,secondary,yes,no,no,no,12,42,16,0,0,2
279,1.1,female,no,Western,secondary,no,yes,yes,yes,0,0,2,0,45,25
280,0.33,male,no,Western,secondary,no,no,no,yes,0,72,0,0,0,0
281,0.33,female,no,Western,secondary,no,no,no,yes,0,72,0,0,0,0
282,1.1,female,yes,Western,secondary,no,no,no,yes,0,2,0,0,33,37
283,0.93,female,no,Southern,secondary,no,yes,yes,yes,0,2,0,0,46,24
284,0.69,female,yes,Southern,gramma,no,yes,no,yes,0,26,6,28,12,0
285,0.69,male,no,Southern,gramma,yes,yes,no,yes,0,28,0,23,21,0
286,0.69,female,no,S.Eastern,secondary,no,yes,no,yes,0,12,0,27,33,0
287,0.69,male,no,S.Eastern,secondary,no,no,no,yes,0,42,0,30,0,0
288,2,male,no,S.Eastern,secondary,no,no,yes,yes,39,33,0,0,0,0
289,0.55,male,no,S.Eastern,secondary,no,no,no,yes,3,69,0,0,0,0
290,0.69,male,no,S.Eastern,secondary,no,no,no,yes,44,17,0,11,0,0
291,0.57,female,yes,Western,secondary,no,no,yes,no,0,40,2,30,0,0
292,0.33,male,no,Western,secondary,no,no,no,no,0,72,0,0,0,0
293,0.75,male,no,S.Eastern,gramma,no,no,no,no,0,40,0,32,0,0
294,1.07,male,no,Belfast,secondary,no,yes,no,yes,0,0,2,25,45,0
295,0.69,male,yes,S.Eastern,secondary,no,no,no,yes,0,21,2,49,0,0
296,2,male,no,S.Eastern,secondary,no,no,no,yes,25,46,1,0,0,0
297,0.69,male,no,S.Eastern,secondary,no,yes,no,yes,0,26,0,46,0,0
298,4.1,female,no,Belfast,secondary,yes,no,no,yes,0,36,4,22,0,10
299,2,female,no,S.Eastern,secondary,no,no,no,no,9,62,1,0,0,0
300,0.4,male,yes,N.Eastern,secondary,no,no,no,no,0,26,0,46,0,0
301,0.4,female,no,N.Eastern,secondary,no,no,no,yes,0,18,0,21,33,0
302,0.4,female,yes,N.Eastern,secondary,no,yes,no,no,0,51,0,21,0,0
303,0.89,female,no,N.Eastern,secondary,no,no,no,yes,7,59,6,0,0,0
304,0.64,female,yes,N.Eastern,gramma,no,no,no,no,0,46,5,21,0,0
305,0.4,male,yes,N.Eastern,secondary,no,no,no,yes,0,54,8,10,0,0
306,0.28,male,yes,Southern,secondary,yes,no,no,yes,0,72,0,0,0,0
307,0.4,male,yes,N.Eastern,secondary,yes,no,no,no,0,0,26,46,0,0
308,0.87,female,no,N.Eastern,secondary,no,no,no,no,12,23,0,25,0,12
309,0.4,male,yes,N.Eastern,secondary,no,no,no,no,12,38,15,7,0,0
310,0.23,female,no,N.Eastern,secondary,no,yes,no,no,0,71,1,0,0,0
311,0.4,male,yes,N.Eastern,secondary,no,yes,no,no,0,15,0,36,21,0
312,0.4,male,no,N.Eastern,secondary,no,yes,no,no,0,47,0,25,0,0
313,0.4,female,no,N.Eastern,secondary,no,no,no,yes,0,53,0,19,0,0
314,0.23,male,yes,N.Eastern,secondary,yes,no,no,no,0,70,2,0,0,0
315,0.4,female,yes,N.Eastern,secondary,no,no,no,no,24,12,14,22,0,0
316,4.1,male,yes,Belfast,secondary,yes,yes,no,yes,0,36,0,0,9,27
317,1.1,female,yes,Western,secondary,no,no,yes,yes,0,0,26,0,10,36
318,1.31,male,no,Southern,gramma,no,yes,yes,no,0,36,0,0,10,26
319,0.71,male,no,Belfast,secondary,no,no,no,yes,34,38,0,0,0,0
320,3.6,female,no,S.Eastern,secondary,no,no,yes,no,0,26,2,34,0,10
321,0.71,male,no,Belfast,secondary,no,no,no,yes,12,59,1,0,0,0
322,0.71,female,no,Belfast,secondary,no,no,no,yes,15,57,0,0,0,0
323,1.31,male,yes,Southern,gramma,no,yes,no,yes,0,2,10,0,34,26
324,0.57,female,yes,Western,secondary,no,yes,yes,yes,0,0,2,49,21,0
325,0.57,male,yes,Western,secondary,no,no,yes,yes,0,34,33,5,0,0
326,0.89,male,yes,N.Eastern,secondary,no,no,no,yes,24,48,0,0,0,0
327,0.69,male,no,S.Eastern,secondary,no,yes,yes,no,2,48,0,22,0,0
328,0.93,male,no,Southern,secondary,no,yes,yes,yes,24,38,0,0,0,10
